Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Right Swipe,Alisha Rai,"",9780062878090,paperback,read,2019/08/22,2019/09/04,2019/09/04,1,"",,,,,,,3.0,,"",,"",No
The Man in the Iron Mask,Alexandre Dumas,Joachim Neugroschel (Translator),9780140439243,paperback,to-read,2015/10/07,"","",0,"",,,,,,,,,"",,"",No
A Crown of Swords,Robert Jordan,"",9780812550283,paperback,read,2018/08/29,2018/10/10,2018/10/10,1,"",,,,,,,3.0,,"",,"",No
El Huesped Y Otros Relatos Siniestros,Amparo Dávila,"",9786071657008,hardcover,to-read,2019/03/05,"","",0,"",,,,,,,,,"",,"",No
Heads of the Colored People,Nafissa Thompson-Spires,"",9781501167997,hardcover,to-read,2019/03/05,"","",0,"",,,,,,,,,"",,"",No
First Blood,David Morrell,"",9780446364409,paperback,read,2024/01/01,2024/02/21,2024/02/21,1,"",,,,,,,5.0,"This was definitely not the first ""dad book"" that I've read but this is the first book I've finished as a dad. Really engrossing, I read it while holding my beautiful boy: 5 stars experience.","",,"",No
Children of Blood and Bone,Tomi Adeyemi,"",9781250170972,hardcover,read,2018/12/10,2019/12/27,2019/12/27,1,"",,,,,,,4.0,,"",,"",No
The Bone Season,Samantha Shannon,"",9781639732234,hardcover,to-read,2025/07/29,"","",0,"",,,,,,,,,"",,"",No
The Lying Game,Ruth Ware,"",9781501156007,hardcover,to-read,2021/02/28,"","",0,"",,,,,,,,,"",,"",No
The Universe in a Nutshell,Stephen Hawking,"",9780553802023,hardcover,read,2015/10/08,"","",1,"",,,,,,,5.0,,"",,"",No
The Fires of Heaven,Robert Jordan,"",9781857232097,paperback,read,2018/08/29,2018/10/10,2018/10/10,1,"",,,,,,,4.0,,"",,"",No
Η λύση του Διαβόλου,Frederick Forsyth,Γιούρι Κοβαλένκο (Translator),9780553264906,,to-read,2025/07/09,"","",0,"",,,,,,,,,"",,"",No
The Last Picture Show,Larry McMurtry,"",9780752837215,paperback,to-read,2024/08/28,"","",0,"",,,,,,,,,"",,"",No
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Reg Keeland (Translator),9780307269997,hardcover,read,2017/11/30,2024/05/03,2024/05/03,1,"",,,,,,,4.0,,"",,"",No
The Exchange,John Grisham,"",9780385548953,hardcover,read,2024/03/13,2024/03/25,2024/03/25,1,"",,,,,,,2.0,This book shows that John Grisham has learned enough tricks to write a page-turner thriller with absolutely no substance.,"",,"",No
Red Dragon,Thomas Harris,"","",paperback,read,2022/10/02,2023/07/22,2023/07/22,1,"",,,,,,,5.0,,"",,"",No
History of Wolves,Emily Fridlund,"",9780802125873,hardcover,read,2020/06/29,2020/07/20,2020/07/20,1,"",,,,,,,4.0,,"",,"",No
Lavondyss: Journey to an Unknown Region,Robert Holdstock,"",9780765307316,paperback,to-read,2021/07/14,"","",0,"",,,,,,,,,"",,"",No
Fix Her Up,Tessa Bailey,"",9780062872845,digital,read,2019/09/01,2019/09/27,2019/09/27,1,"",,,,,,,3.0,,"",,"",No
The Feast of the Goat,Mario Vargas Llosa,Edith Grossman (Translator),9780571207763,paperback,read,2015/10/07,"","",1,"",,,,,,,5.0,,"",,"",No
Tess of the D'Urbervilles,Thomas Hardy,Donald Hall,9780451525468,paperback,to-read,2023/11/01,"","",0,"",,,,,,,,,"",,"",No
The Years,Annie Ernaux,Alison L. Strayer (Translator),9781609807870,paperback,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
The Time Machine,H.G. Wells,"",9786059919166,paperback,read,2015/10/17,2016/01/20,2016/01/20,1,"",,,,,,,3.0,,"",,"",No
The Partner,"Hidayat Saleh, John Grisham","",9780712661362,,to-read,2023/07/22,"","",0,"",,,,,,,,,"",,"",No
